,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
58,9,6,64.13755458515283,1.4023879598624467,132052702.74281847,-0.018597974572414307,1.1750598634035527,-1.498526111570999,0.21624655250929498,22.3960880195599,0.9591116712980569,0.015408004473116039,6903.476697495873,-4922.658276510731,5875,9160,2.0,0.6666666666666666
59,10,6,67.40809391411801,1.4589157720078088,4749861531.479537,-0.016861217949200258,1.1408604538468152,-1.6173521623048568,0.24190638834171357,23.74327628361858,1.0426848267753246,0.01558274884758884,7468.0725308812525,-5118.919593694872,6546,9711,2.0,0.6
60,1,7,13.404904954200727,1.14540317093276,9.137572758412865,-0.17392948092041105,1.391960499442178,-0.18812173518269912,0.023686786566976606,24.40625,0.11362727025772996,0.006194549594658895,1894.4582397408042,-1653.9662957262906,1361,10153,2.0,7.0
61,2,7,25.617750882501262,1.3496735055352793,2430.89569184003,-0.07559922456123565,1.5555244908656254,-0.39693539095620145,0.10324091764969269,18.840855106888363,0.2508966319904413,0.009971433495690069,3160.825765438951,-2341.9188066415886,2032,7932,2.0,3.5
62,3,7,36.27003971172231,1.4876242542427403,192499.2228564819,-0.05016820034721741,1.5688871017683674,-0.6002094450471581,0.18652273386843024,16.462469733656174,0.3614794339004338,0.012232129550471876,3868.8755929607937,-2600.7075253893363,2466,6799,2.0,2.3333333333333335
63,4,7,43.74178472323646,1.5010414927417781,3061455.494876152,-0.036581141558402495,1.560164752231049,-0.8081431810039363,0.22779697673504148,17.160401002506266,0.4844580971962295,0.01380510569769683,4672.693432931992,-3112.967533227163,2995,6847,2.0,1.75
64,5,7,48.39867109634552,1.5422116418494958,193390749.87168613,-0.03043375386141245,1.5561895752319879,-0.946435616488457,0.2648017188266074,18.353658536585368,0.5701558503348101,0.014840121914934865,5667.6424329949,-3675.0094988246788,3642,7525,2.0,1.4
65,6,7,51.72497570456754,1.5078464483081913,895257000.3221916,-0.025733475117410243,1.506530270938627,-1.0705292534844624,0.2624541594156245,19.553444180522565,0.6752083939913818,0.01537146452533801,6414.805893656674,-4254.283253347254,4258,8232,2.0,1.1666666666666667
66,7,7,56.35928143712575,1.5248089100668256,6923555243.300131,-0.02256787680171231,1.4663549298800105,-1.2419303405555282,0.28443977712945934,19.83372921615202,0.760177945822699,0.01597735685080047,6900.666300015329,-4525.594160984345,4706,8350,2.0,1.0
67,8,7,59.359371278875926,1.4875903470022214,7350555093.610858,-0.019580460398592795,1.4656951247259846,-1.4390940119524416,0.2851705565569599,19.947743467933492,0.875786068629051,0.016915800286494077,7306.490196759033,-4911.627862793683,4985,8398,2.0,0.875
68,9,7,61.19773210489014,1.4369514629962865,1906397629.3609183,-0.017756779079413174,1.4403554979339812,-1.580905149877207,0.2680378475607527,20.69926650366748,0.9753808079119748,0.017496654200411604,7462.481834795956,-5193.273417346624,5181,8466,2.0,0.7777777777777778
69,10,7,64.72850151479842,1.5118063046984345,116946730151.36743,-0.015717197135563514,1.4314166572950882,-1.7375669883833853,0.31366863871331935,20.982885085574573,1.072921174648243,0.018015811088705737,7951.519531274215,-5259.615273836508,5555,8582,2.0,0.7
70,1,8,13.736030555948508,1.4120567438637657,171.4646984499837,-0.15984998049470378,1.9006729955666886,-0.21433202390390413,0.07618571183042117,17.283618581907092,0.12035123696704608,0.008300324077998314,1845.5534786952549,-1306.9966817660074,971,7069,2.0,8.0
71,2,8,24.470134874759154,1.4856009636580136,18272.681477208986,-0.07933945738019399,1.9010784419532163,-0.41458684582234934,0.1520595733443112,16.026128266033254,0.23291568756266814,0.011502873997123887,3138.6805076647597,-2112.734566310692,1651,6747,2.0,4.0
72,3,8,32.841377476399416,1.4708447219734844,400179.6257177606,-0.05416193760860329,1.7071132084461635,-0.567564313861092,0.17947111761064338,17.8646080760095,0.33612698562323534,0.012582387866793323,4216.569624862023,-2866.7673493123752,2470,7521,2.0,2.6666666666666665
73,4,8,40.08042895442359,1.5445465951224366,43830210.8742367,-0.039457431607982096,1.7436728370819883,-0.755140308376151,0.24639471909299598,18.195121951219512,0.44442965734045803,0.01440193861827423,5213.581782875146,-3375.4771784413947,2990,7460,2.0,2.0
74,5,8,45.09028601555292,1.537010483215893,771628801.4561632,-0.029483517060754947,1.7969682915465566,-0.9600578273449125,0.2830931351867491,19.015037593984964,0.582327698990362,0.01620986039673516,6147.428525380769,-3999.600908718905,3421,7587,2.0,1.6
75,6,8,50.142981474574164,1.6008362415882027,112394300834.73125,-0.025187386598846784,1.7599702746570265,-1.1057126402252826,0.33122621290419035,20.157894736842106,0.6625434443334488,0.01702157673348345,7097.960117691789,-4433.907687303384,4033,8043,2.0,1.3333333333333333
76,7,8,54.233772571986336,1.5664981183266844,274181206363.73074,-0.02142181543524677,1.7215920019483375,-1.3023420401299832,0.3376514709776467,20.03911980440098,0.7760073062188643,0.017825885159263,7652.47644866036,-4885.084992527568,4445,8196,2.0,1.1428571428571428
77,8,8,57.68963922294172,1.5464983656362215,1395481977159.1416,-0.01866948430678375,1.671947403563708,-1.4740908155186776,0.3408472828858117,20.492890995260662,0.8886976682646334,0.018452005714865174,8341.34559637934,-5393.698293982841,4989,8648,2.0,1.0
78,9,8,60.20594965675057,1.5366870544942917,3511533723537.7305,-0.0170757017671363,1.6609154808245596,-1.6352470203016691,0.34923891573107874,20.760095011876484,0.9667310349996608,0.019083693481468364,8739.737260098833,-5687.389136609206,5262,8740,2.0,0.8888888888888888
79,10,8,62.7269689205748,1.5333559220224657,17590044562249.3,-0.015416682274309406,1.6489808208193706,-1.8098068193677777,0.35978582872109743,21.323040380047505,1.0639216285933195,0.019729045579227104,9285.411002033876,-6055.613617604584,5631,8977,2.0,0.8
80,1,9,13.671141908474088,1.5755441289800194,2021.2165446096535,-0.14988992350946478,2.295411637052963,-0.2307165783959047,0.11463399472811403,16.936430317848412,0.12578337229939507,0.009786893040149815,2173.7548202891558,-1379.6851388075102,947,6927,2.0,9.0
81,2,9,20.90824344120389,1.4034167659978831,10771.410560493572,-0.07912253719478028,2.1779779649312907,-0.41025430609789315,0.13089959795268874,19.01012658227848,0.23622857258053348,0.012092638890070295,3419.425404942127,-2436.500323915387,1570,7509,2.0,4.5
82,3,9,31.189358372456965,1.588190251892797,2826774.737840006,-0.05224256118593064,2.1046034655563517,-0.600645998603944,0.24310395164198229,15.585365853658537,0.33629592586497553,0.01451861593454239,4194.474706853809,-2641.0404558615414,1993,6390,2.0,3.0
83,4,9,38.765320018157055,1.6284827913677857,503197921.45288604,-0.03736259077851863,2.120915141954209,-0.8244912292848279,0.3173049763611718,16.73164556962025,0.45036893549852075,0.016659742805203086,5433.784593686683,-3336.7160049156987,2562,6609,2.0,2.25
