timestamp,open,high,low,close,volume,trade_count,vwap
2018-03-22 16:00:00+00:00,241.87,243.75,241.515,242.9,807793,5540,242.697014
2018-03-22 17:00:00+00:00,242.85,244.34,242.26,243.98,578115,3854,243.53797
2018-03-22 18:00:00+00:00,243.98,244.23,241.75,241.89,863401,5757,242.766223
2018-03-22 19:00:00+00:00,241.88,242.49,239.17,239.35,2521351,18863,240.467288
2018-03-22 20:00:00+00:00,239.5,239.84,239.25,239.7,83459,156,239.384753
2018-03-22 21:00:00+00:00,239.63,239.98,239.6,239.84,2036,17,239.851881
2018-03-22 22:00:00+00:00,239.52,239.82,238.56,238.8,19135,159,239.00101
2018-03-22 23:00:00+00:00,238.7,238.76,237.4,237.74,20949,118,237.99544
2018-03-23 08:00:00+00:00,238.98,239.1,238.4,238.4,3306,9,238.62314
2018-03-23 09:00:00+00:00,238.0,238.0,237.54,237.54,2520,7,237.67381
2018-03-23 10:00:00+00:00,237.03,237.95,237.03,237.95,1900,3,237.095789
2018-03-23 11:00:00+00:00,238.74,239.08,238.48,239.08,16063,68,238.813695
2018-03-23 12:00:00+00:00,237.0,240.75,237.0,239.25,88582,303,239.858786
2018-03-23 13:00:00+00:00,239.25,240.82,239.25,240.065,909157,5908,240.022107
2018-03-23 14:00:00+00:00,240.09,240.79,239.45,240.595,942961,7826,240.269444
2018-03-23 15:00:00+00:00,240.58,240.8425,238.09,238.2,773349,5412,239.360745
2018-03-23 16:00:00+00:00,238.19,239.6,238.17,238.6076,587723,3549,238.879707
2018-03-23 17:00:00+00:00,238.59,240.89,238.35,240.5972,655092,4104,239.8673
2018-03-23 18:00:00+00:00,240.6101,240.9,237.01,237.12,951228,5953,238.729966
2018-03-23 19:00:00+00:00,237.14,237.44,234.85,235.1,2560995,16690,236.440291
2018-03-23 20:00:00+00:00,235.06,236.29,235.06,235.66,93869,278,235.461521
2018-03-23 21:00:00+00:00,235.75,235.75,235.42,235.45,6428,17,235.558172
2018-03-23 22:00:00+00:00,235.27,235.65,235.22,235.65,1792,13,235.291361
2018-03-23 23:00:00+00:00,235.3,235.9,235.3,235.9,1563,19,235.642137
2018-03-26 08:00:00+00:00,238.49,238.49,238.49,238.49,121,1,238.49
2018-03-26 09:00:00+00:00,238.4,238.4,238.4,238.4,1040,3,238.4
2018-03-26 10:00:00+00:00,239.38,239.38,238.61,238.75,2750,7,238.808909
2018-03-26 11:00:00+00:00,239.0,239.23,238.67,238.87,29492,107,239.04915
2018-03-26 12:00:00+00:00,239.12,239.66,238.85,238.92,55653,229,239.213602
2018-03-26 13:00:00+00:00,238.9,240.24,238.72,239.78,957067,5486,239.503767
2018-03-26 14:00:00+00:00,239.76,240.03,238.07,238.25,1185373,8091,238.925026
2018-03-26 15:00:00+00:00,238.25,238.8,237.2,238.4732,1061827,7019,237.963111
2018-03-26 16:00:00+00:00,238.47,239.79,238.141,238.91,650244,4097,239.038897
2018-03-26 17:00:00+00:00,238.84,240.05,238.82,239.31,408428,3339,239.427146
2018-03-26 18:00:00+00:00,239.35,240.97,239.31,240.5965,673680,5040,240.344042
2018-03-26 19:00:00+00:00,240.62,242.15,240.57,241.87,1443907,9758,241.654408
2018-03-26 20:00:00+00:00,241.85,241.9,241.58,241.9,108464,117,241.788769
2018-03-26 21:00:00+00:00,241.95,242.05,241.83,241.83,3552,27,241.958063
2018-03-26 22:00:00+00:00,241.95,242.16,241.94,242.0,4687,32,242.07272
2018-03-26 23:00:00+00:00,242.05,242.2,241.74,242.2,1700,9,241.969412
2018-03-27 08:00:00+00:00,243.0,243.0,243.0,243.0,350,2,243.0
2018-03-27 09:00:00+00:00,243.5,243.5,243.5,243.5,150,2,243.473333
2018-03-27 10:00:00+00:00,243.03,243.15,243.03,243.15,1900,17,243.111579
2018-03-27 11:00:00+00:00,242.85,243.3,242.85,243.0,7360,40,243.172615
2018-03-27 12:00:00+00:00,243.1898,243.24,242.87,242.9,4986,25,243.035802
2018-03-27 13:00:00+00:00,242.8,243.12,241.39,242.3555,719184,3484,242.213582
2018-03-27 14:00:00+00:00,242.33,243.14,241.55,242.68,792386,5388,242.318171
2018-03-27 15:00:00+00:00,242.6,244.1,242.0,244.04,571921,3658,243.17223
2018-03-27 16:00:00+00:00,244.01,244.2599,242.93,243.46,479918,3040,243.560052
2018-03-27 17:00:00+00:00,243.49,244.0,241.74,242.35,572774,3611,242.962578
2018-03-27 18:00:00+00:00,242.34,242.7759,240.72,240.78,857095,5250,241.84381
2018-03-27 19:00:00+00:00,240.75,240.9,236.85,238.33,2404926,15383,238.585248
2018-03-27 20:00:00+00:00,238.35,238.78,238.29,238.4,81074,120,238.426102
2018-03-27 21:00:00+00:00,238.65,238.65,238.02,238.55,2145,21,238.454219
2018-03-27 22:00:00+00:00,238.42,238.64,238.15,238.54,8304,30,238.520292
2018-03-27 23:00:00+00:00,238.6,238.76,238.22,238.76,5664,34,238.481838
2018-03-28 11:00:00+00:00,239.12,239.42,238.99,239.08,2881,21,239.151128
